id_prueba,sitio,url_web,url_facebook,municipio,estado,pais,tipo_fuente,enlace_valido,categoria_raiz,subcategoria,tipo_especifico,duplicado,pagina_activa,agregado_por,estado_validacion,observaciones
148,Conoce más Pedro Escobedo Querétaro y sus alrededores. ,http://www.conocemaspe.mx/,https://www.facebook.com/profile.php?id=61571961067774&sk=about&locale=es_LA,Pedro Escobedo,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
149,"Protección Civil Arroyo Seco, Qro.",NA,https://www.facebook.com/profile.php?id=100087138235251,Arroyo Seco,Querétaro,México,Medio,Sí,Gobierno,Protección Civil,Protección Civil Municipal,No,Sí,Mauricio,Aprobado,ninguna
150,Cqcias ,https://cias.gob.mx/,https://www.facebook.com/cqcias/,Querétaro,Querétaro,México,Privada,Sí,Gobierno,Seguridad Pública,Centro de Monitoreo / C5 / C4,No,Sí,Mauricio,Aprobado,ninguna
151,Coordinación Estatal de Protección Civil de Querétaro ,https://www.proteccioncivilqro.gob.mx/,https://www.facebook.com/pcivilqro,Querétaro,Querétaro,México,Oficial,Sí,Gobierno,Protección Civil,Protección Civil Estatal,No,Sí,Mauricio,Aprobado,ninguna
152,Protección Civil SJR ,NA,https://www.facebook.com/profile.php?id=61573447187249,San Juan del Río,Querétaro,México,Oficial,Sí,Gobierno,Protección Civil,Protección Civil Municipal,No,Sí,Mauricio,Aprobado,ninguna
153,Protección Civil Tequisquiapan ,NA,https://www.facebook.com/profile.php?id=61566819129145,Tequisquiapan,Querétaro,México,Oficial,Sí,Gobierno,Protección Civil,Protección Civil Municipal,No,Sí,Mauricio,Aprobado,ninguna
154,Protección CIVIL Tolimán QRO,NA,https://www.facebook.com/profile.php?id=61557014603949,Tolimán,Querétaro,México,Oficial,Sí,Gobierno,Protección Civil,Protección Civil Municipal,No,Sí,Mauricio,Aprobado,ninguna
155,Pomares MX ,NA,https://www.facebook.com/pomaresoficial/about,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Conductor de Noticias,No,Sí,Mauricio,Aprobado,ninguna
156,Miguel Angel Alvarez Vargas ,https://linktr.ee/malvarezvargas,https://www.facebook.com/malvarezv/?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Creador de Contenido Informativo,No,Sí,Mauricio,Aprobado,ninguna
157,Querétaro 24/7 ,http://www.queretaro24-7.com/,https://www.facebook.com/Queretaro24.7,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
158,Amealco Al Día,NA,https://www.facebook.com/groups/1650549139462448/about?locale=es_LA,Amealco de Bonfil,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
159,Reporte Querétaro ,http://www.ciudadypoder.mx/,https://www.facebook.com/ReporteQueretaro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
160,Radar News Última Hora ,NA,https://www.facebook.com/RadarNewsNoticieros/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
161,Querétaro Informado.,NA,https://www.facebook.com/groups/Qro.inf/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
162,La Neta Noticias Queretaro ,NA,https://www.facebook.com/LaNetaNoticiasQueretaro?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
163,Códice Informativo ,https://www.codiceinformativo.com/,https://www.facebook.com/codiceinformativo/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
164,Pedro Escobedo Noticias,NA,https://www.facebook.com/profile.php?id=61561670571203&sk=about&locale=es_LA,Pedro Escobedo,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
165,Alertas de seguridad San Juan del rio y Tequisquiapan,NA,https://www.facebook.com/groups/192977135383769/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
166,Noticias Querétaro! 24/7,NA,https://www.facebook.com/groups/597137593784904/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
167,Noticias de Querétaro Sin Censura,NA,https://www.facebook.com/groups/819400862592152/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Comunidad,Grupos Comunitarios,Información Local,No,Sí,Mauricio,Aprobado,ninguna
168,Centro Informativo Qro ,https://www.cinoticiasmx.com/,https://www.facebook.com/CINoticiasQro/about?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
169,CQ Noticias ,http://www.cqnoticias.com/,https://www.facebook.com/profile.php?id=61568163730901&sk=about&locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
170,Tequisquiapan vive,NA,https://www.facebook.com/TequisquiapanVive,Tequisquiapan,Querétaro,México,Medio,Sí,Medio Informativo,,,Pendiente,Pendiente,Mauricio,Enlace inválido,Enlace no valido
171,Corregidora al Dia,NA,https://www.facebook.com/CorregidoraAlDia,Corregidora,Querétaro,México,Medio,Sí,Medio Informativo,,,Pendiente,Pendiente,Mauricio,Enlace inválido,Enlace no valido
172,Qué Pasa en Querétaro,NA,https://www.facebook.com/QuePasaEnQueretaro,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
173,Así Sucede Querétaro,asisucede.com.mx,https://www.facebook.com/AsiSucedeQro/aboutt,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Radio,Radio Noticias,No,Sí,Mauricio,Aprobado,ninguna
174,Panorama Queretano,panoramaqueretano.com,https://www.facebook.com/PanoramaQueretano,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
175,Soy Querétaro,soyqro.com,https://www.facebook.com/SoyQro,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Locales,No,Sí,Mauricio,Aprobado,ninguna
176,Periódico El Pueblito,NA,https://www.facebook.com/PeriodicoElPueblito,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Estatales,No,Sí,Mauricio,Aprobado,ninguna
177,UAQ Sin Censura. ,NA,https://www.facebook.com/uaqsincensura,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Periodista Independiente,No,Sí,Mauricio,Aprobado,ninguna
178,Ayudas carrillo ,NA,https://www.facebook.com/profile.php?id=61555354179910,Querétaro,Querétaro,México,Medio,Sí,Emergencias y Rescate,Alertas y Riesgos,Alertas Viales,No,Sí,Mauricio,Aprobado,ninguna
179,Rockd Media ,NA,https://www.facebook.com/RockdMedia,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Periodista Independiente,No,Sí,Mauricio,Aprobado,ninguna
180,Yoheme Pomares,NA,https://www.facebook.com/pomaresoficial/about,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,,,Sí,Sí,Mauricio,Duplicado,Duplicado
181,Querétaro Network TV QNTV ,http://queretaronetwork.tv/,https://www.facebook.com/QroNTV?locale=es_LA,Querétaro,Querétaro,México,Medio,Sí,Medio Informativo,Portal Digital,Noticias Generales,No,Sí,Mauricio,Aprobado,ninguna
182,Alejandro Villalvazo ,NA,https://www.facebook.com/profile.php?id=100044421636694,Querétaro,Querétaro,México,Medio,Sí,Figura Pública,Comunicador / Periodista,Periodista Independiente,No,Sí,Mauricio,Aprobado,ninguna
