id_prueba,sitio,url_web,url_facebook,municipio,estado,pais,tipo_fuente,enlace_valido,categoria_raiz,subcategoria,tipo_especifico,duplicado,pagina_activa,agregado_por,estado_validacion,observaciones
62,Iván Reséndiz Ramírez,NA,https://www.facebook.com/IvanRsndzRmrz/,Ezequiel Montes,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
63,Jairo Morales,NA,https://www.facebook.com/jairomoralesmtz/?locale=es_LA,Huimilpan,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
64,Rubén Hernández ,NA,https://www.facebook.com/p/Rub%C3%A9n-Hern%C3%A1ndez-61551688837412/,Jalpan de Serra,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
65,Yunuen Benítez Maldonado ,NA,https://www.facebook.com/yuni.benitez/photos,Landa de Matamoros,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
66,Beto Nava,NA,https://www.facebook.com/betonavacz/photos?locale=es_LA,Pedro Escobedo,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
67,Municipio de Peñamiller ,http://www.penamillerqro.gob.mx/,www.facebook.com/MunicipioDePenamillerQro/about,Peñamiller,Querétaro,México,Oficial,Sí,Gobierno,Poder Ejecutivo,Ayuntamiento,No,Sí,Mauricio,Aprobado,ninguna
68,Ana Karen Jimenez,NA,https://www.facebook.com/nena.jimenez.52/,Peñamiller,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Funcionario Público,No,Sí,Mauricio,Aprobado,ninguna
69,Carlos Manuel Ledesma Robles,NA,https://www.facebook.com/CarlosManuelLedesmaRobleSj/,San Joaquín,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
70,Héctor Magaña Renteria,NA,https://www.facebook.com/maganarenteria,Querétaro,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Senador,No,Sí,Mauricio,Aprobado,ninguna
71,Alejo Sánchez de Santiago ,NA,https://www.facebook.com/TuTienesElPoderalexito/,Tolimán,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
72,Fernando Sánchez Gil ,NA,https://www.facebook.com/fernando.sanchezgil1/,Arroyo Seco,Querétaro,México,Oficial,Sí,Figura Pública,Figura Política,Presidente Municipal,No,Sí,Mauricio,Aprobado,ninguna
